ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc,,Size
2,58,9,4,0,0,1,,5,S,0,S,17,0.777607,0.009538,0.007417,,0
2,59,3,5,0,0,1,,2,S,0,S,23,0.034835,0.752077,0.026199,,0
2,60,3,8,0,0,1,,5,S,0,S,17,0.016877,0.769148,0.012981,,0
2,61,1,3,0,0,1,,2,S,0,S,21,0.014047,0.773526,0.010866,,0
2,62,6,1,0,0,1,,5,S,0,S,15,0.795481,0,0,,0
2,63,4,8,0,0,1,,4,S,0,S,17,0,0.790646,0,,0
2,64,9,3,0,0,1,,6,S,0,S,14,0.751619,0.019777,0.014865,,0
2,65,5,1,0,0,1,,4,S,0,S,15,0.773132,0.00754,0.005829,,0
2,66,8,3,0,0,1,,5,S,0,S,14,0.771119,0.005766,0.004446,,0
2,67,8,6,0,0,1,,2,S,0,S,17,0.779524,0.009081,0.007079,,0
2,68,3,7,0,0,1,,4,S,0,S,17,0.025257,0.755316,0.019077,,0
2,69,1,6,0,0,1,,5,S,0,S,15,0.007202,0.772931,0.005566,,0
2,70,5,3,0,0,1,,2,S,0,S,16,0.763365,0.016503,0.012597,,0
2,71,3,1,0,0,1,,2,S,0,S,15,0.773356,0.008735,0.006756,,0
2,72,5,6,0,0,1,,1,S,0,S,21,0.033869,0.751649,0.025458,,0
3,1,9,5,0,0,1,,4,S,0,S,16,0.774635,0.00795,0.006158,,0
3,2,6,4,0,0,1,,2,S,0,S,17,0.792491,0,0,,0
3,3,9,4,0,0,1,,5,S,0,S,16,0.784794,0,0,,0
3,4,5,7,0,0,1,,2,S,0,S,19,0.005153,0.783688,0.004038,,0
3,5,4,3,0,0,1,,1,S,0,S,22,0.765211,0.025264,0.019333,,0
3,6,1,4,0,0,1,,3,S,0,S,17,0.016298,0.766936,0.0125,,0
3,7,9,1,0,0,1,,8,L,0,S,14,0.765008,0.006547,0.005009,,0
3,8,3,7,0,0,1,,4,S,0,S,16,0.001684,0.781545,0.001316,,0
3,9,4,2,0,0,1,,2,S,0,S,19,0.776224,0.013562,0.010527,,0
3,10,4,9,0,0,1,,5,S,0,S,17,0.005791,0.784364,0.004542,,0
3,11,2,1,0,0,1,,1,S,0,S,18,0.758438,0.021495,0.016303,,S
3,12,7,4,0,0,1,,3,S,0,S,17,0.774946,0.008885,0.006886,,0
3,13,8,6,0,0,1,,2,S,0,S,22,0.777683,0.010567,0.008218,,0
3,14,8,9,0,0,1,,1,S,0,S,24,0.006368,0.787882,0.005017,,L
3,15,7,5,0,0,1,,2,S,0,S,17,0.759873,0.020763,0.015777,,0
3,16,1,7,0,0,1,,6,S,0,S,15,0,0.785254,0,,0
3,17,6,2,0,0,1,,4,S,0,S,16,0.791211,0,0,,0
3,18,1,8,0,0,1,,7,L,0,S,14,0,0.79157,0,,0
3,19,2,8,0,0,1,,6,S,0,S,14,0.013624,0.760409,0.01036,,0
3,20,8,5,0,0,1,,3,S,0,S,17,0.758761,0.023369,0.017732,,0
3,21,3,6,0,0,1,,3,S,0,S,17,0.003944,0.780563,0.003079,,0
3,22,6,8,0,0,1,,2,S,0,S,17,0.029164,0.752419,0.021943,,0
